price,beds,livings,wc,area,street_width,age,ketchen,ac,furnished,district,advertiser_type,review,onMarket,IsRent
40000,3,1.0,2,125.0,15.0,,1.0,1.0,0.0,حي العارض,exclusive_marketer,4.48,44,True
85000,2,1.0,2,140.0,28.0,0.0,1.0,1.0,1.0,حي الملقا,exclusive_marketer,4.0,29,False
20000,5,1.0,2,180.0,20.0,6.0,1.0,1.0,0.0,حي طويق,,4.36,68,True
75000,3,1.0,3,204.0,36.0,4.0,1.0,1.0,0.0,حي الملقا,normal_marketer,4.39,18,False
25000,4,1.0,2,140.0,5.0,,1.0,0.0,0.0,حي الرمال,normal_marketer,4.29,10,True
29000,3,1.0,2,120.0,20.0,1.0,1.0,0.0,0.0,حي العارض,owner,5.0,34,False
25000,3,1.0,2,125.0,18.0,6.0,1.0,0.0,0.0,حي النهضة,exclusive_marketer,4.2,50,False
90000,3,2.0,3,180.0,35.0,1.0,1.0,1.0,0.0,حي الياسمين,normal_marketer,4.36,5,True
25000,1,1.0,1,100.0,5.0,0.0,1.0,1.0,0.0,حي اليرموك,owner,3.5,19,False
29000,1,1.0,1,100.0,5.0,3.0,1.0,1.0,0.0,حي الياسمين,normal_marketer,4.15,195,False
28000,2,1.0,1,120.0,29.0,3.0,1.0,1.0,0.0,حي الملقا,owner,4.49,34,False
24000,4,1.0,3,150.0,22.0,0.0,1.0,0.0,0.0,حي الرمال,owner,,5,True
130000,5,2.0,4,250.0,25.0,0.0,1.0,1.0,1.0,حي الملقا,exclusive_marketer,4.69,83,False
120000,3,1.0,3,140.0,30.0,0.0,0.0,1.0,0.0,حي القيروان,normal_marketer,4.34,60,False
65000,3,1.0,2,140.0,5.0,0.0,1.0,1.0,0.0,حي الملقا,exclusive_marketer,4.56,58,False
45000,3,1.0,3,170.0,24.0,7.0,1.0,1.0,0.0,حي الصحافة,,4.74,162,False
32000,1,1.0,1,11.0,5.0,,1.0,1.0,0.0,حي العقيق,exclusive_marketer,4.72,18,False
42000,3,1.0,2,120.0,20.0,1.0,1.0,1.0,0.0,حي القيروان,owner,5.0,53,True
22000,1,1.0,1,,,,1.0,1.0,0.0,حي الوادي,exclusive_marketer,4.47,32,False
80000,3,1.0,3,145.0,60.0,0.0,1.0,1.0,0.0,حي النرجس,normal_marketer,,33,False
68000,3,1.0,4,140.0,5.0,0.0,1.0,1.0,0.0,حي الريان,owner,4.75,73,True
135000,2,1.0,2,100.0,36.0,4.0,1.0,1.0,1.0,حي الربيع,agent,4.57,92,False
27000,2,1.0,1,120.0,21.0,1.0,1.0,1.0,1.0,حي اشبيلية,exclusive_marketer,4.31,148,False
80000,3,1.0,3,145.0,33.0,0.0,1.0,1.0,0.0,حي الملقا,exclusive_marketer,4.81,48,False
65000,4,1.0,4,200.0,20.0,10.0,1.0,1.0,0.0,حي الصحافة,normal_marketer,4.44,23,False
22000,1,1.0,1,107.0,45.0,4.0,1.0,1.0,0.0,حي الاندلس,exclusive_marketer,4.5,46,False
23000,1,1.0,1,80.0,30.0,5.0,1.0,1.0,1.0,حي اشبيلية,exclusive_marketer,4.42,97,False
60000,4,1.0,3,150.0,15.0,1.0,1.0,1.0,0.0,حي السليمانية,exclusive_marketer,4.3,37,False
40000,3,1.0,2,20.0,,1.0,,,,حي العارض,owner,5.0,23,False
60000,2,1.0,2,1.0,20.0,0.0,1.0,1.0,0.0,حي النرجس,normal_marketer,3.75,33,False
55000,3,1.0,2,180.0,15.0,0.0,1.0,1.0,0.0,حي النرجس,normal_marketer,4.42,88,True
90000,3,1.0,3,150.0,31.0,0.0,1.0,1.0,0.0,حي النفل,normal_marketer,4.21,29,True
20000,1,0.0,1,130.0,32.0,4.0,1.0,1.0,0.0,حي اشبيلية,agent,4.26,26,True
21000,1,0.0,1,40.0,20.0,5.0,1.0,1.0,0.0,حي المروج,normal_marketer,4.35,20,True
20000,1,0.0,1,30.0,22.0,3.0,1.0,1.0,0.0,حي الملقا,exclusive_marketer,4.31,17,False
60000,2,1.0,2,170.0,20.0,,1.0,1.0,0.0,حي العقيق,exclusive_marketer,4.74,18,False
45000,4,1.0,3,280.0,5.0,,1.0,0.0,0.0,حي الخزامى,owner,4.4,54,True
50000,3,1.0,3,115.0,30.0,1.0,0.0,1.0,0.0,حي القيروان,agent,3.44,36,False
35000,2,1.0,2,1.0,5.0,4.0,1.0,1.0,0.0,حي النرجس,normal_marketer,4.35,40,False
28000,3,1.0,2,375.0,5.0,0.0,1.0,0.0,0.0,حي اشبيلية,agent,4.14,10,True
25000,1,1.0,1,50.0,29.0,4.0,1.0,1.0,0.0,حي المونسية,owner,4.52,62,False
90000,3,1.0,3,219.0,20.0,1.0,1.0,1.0,1.0,حي النرجس,exclusive_marketer,5.0,37,False
18000,1,0.0,1,50.0,100.0,0.0,1.0,1.0,0.0,حي اليرموك,owner,,23,False
23000,1,1.0,1,80.0,5.0,0.0,1.0,1.0,0.0,حي اليرموك,owner,4.37,87,False
50000,4,1.0,3,320.0,20.0,1.0,0.0,1.0,0.0,حي النرجس,normal_marketer,4.31,37,True
23000,1,1.0,1,50.0,5.0,4.0,1.0,1.0,0.0,حي الوادي,exclusive_marketer,4.83,74,True
35000,2,1.0,2,125.0,36.0,0.0,1.0,1.0,0.0,حي الصحافة,exclusive_marketer,4.25,33,False
25000,1,1.0,1,100.0,11.0,5.0,1.0,1.0,0.0,حي المروج,normal_marketer,5.0,34,False
60000,4,2.0,4,,,10.0,1.0,1.0,0.0,حي الملقا,normal_marketer,4.08,193,False
65000,4,2.0,4,200.0,36.0,2.0,1.0,1.0,0.0,حي الملقا,owner,4.85,40,False
32000,2,1.0,1,200.0,39.0,4.0,1.0,1.0,0.0,حي اشبيلية,agent,4.29,17,True
45000,4,2.0,5,275.0,60.0,4.0,0.0,0.0,0.0,حي النهضة,owner,4.0,103,False
35000,2,1.0,2,300.0,16.0,6.0,1.0,1.0,0.0,حي قرطبة,exclusive_marketer,4.1,27,False
40000,3,1.0,2,250.0,19.0,0.0,1.0,0.0,0.0,حي العارض,owner,3.97,17,False
50000,2,1.0,2,120.0,5.0,0.0,1.0,1.0,0.0,حي المروج,normal_marketer,4.06,4,True
42000,2,1.0,1,100.0,38.0,0.0,1.0,1.0,0.0,حي الخليج,exclusive_marketer,1.0,24,True
80000,5,0.0,5,300.0,35.0,0.0,1.0,1.0,0.0,حي القيروان,agent,5.0,33,True
6999,2,1.0,1,35.0,5.0,21.0,1.0,0.0,0.0,حي عتيقة,,4.43,737,False
30000,4,1.0,4,156.0,5.0,0.0,1.0,0.0,0.0,حي السويدي,exclusive_marketer,4.45,276,True
40000,3,1.0,3,150.0,22.0,0.0,0.0,0.0,0.0,حي قرطبة,exclusive_marketer,4.3,19,True
60000,2,1.0,2,,,,1.0,1.0,0.0,حي العقيق,normal_marketer,3.98,112,True
45000,4,1.0,3,180.0,20.0,5.0,1.0,0.0,0.0,حي قرطبة,normal_marketer,4.56,2,True
45000,4,1.0,2,168.0,15.0,,1.0,1.0,0.0,حي العارض,exclusive_marketer,3.88,29,False
22000,3,1.0,2,130.0,20.0,0.0,0.0,0.0,0.0,حي الرمال,owner,4.29,17,True
65000,4,1.0,3,160.0,30.0,0.0,1.0,1.0,0.0,حي النرجس,exclusive_marketer,4.38,70,True
70000,4,1.0,3,175.0,33.0,0.0,1.0,1.0,0.0,حي الملقا,exclusive_marketer,4.31,45,True
70000,3,2.0,3,180.0,30.0,,1.0,1.0,0.0,حي العارض,exclusive_marketer,5.0,27,False
28000,3,1.0,2,100.0,5.0,3.0,1.0,0.0,0.0,حي العارض,owner,3.72,17,True
60000,3,1.0,3,172.0,30.0,0.0,1.0,0.0,0.0,حي القادسية,exclusive_marketer,4.15,10,True
75000,2,1.0,3,120.0,20.0,0.0,1.0,1.0,1.0,حي النرجس,owner,5.0,49,True
25000,2,1.0,1,100.0,20.0,1.0,0.0,0.0,0.0,حي القيروان,exclusive_marketer,3.83,4,True
58000,4,2.0,3,180.0,5.0,10.0,1.0,1.0,0.0,حي الندى,owner,5.0,97,False
53000,3,1.0,2,150.0,70.0,0.0,1.0,1.0,0.0,حي الازدهار,,4.54,49,True
45000,3,1.0,1,150.0,74.0,0.0,1.0,1.0,0.0,حي الخليج,exclusive_marketer,4.54,15,True
30000,3,1.0,2,133.0,11.0,0.0,1.0,0.0,0.0,حي العارض,normal_marketer,4.06,4,True
50000,4,1.0,2,210.0,20.0,,1.0,1.0,0.0,حي العارض,exclusive_marketer,4.54,14,True
42000,2,1.0,1,80.0,36.0,0.0,1.0,1.0,0.0,حي الخليج,owner,5.0,51,False
35000,3,1.0,2,140.0,20.0,5.0,1.0,0.0,0.0,حي قرطبة,owner,4.64,31,True
25000,1,1.0,1,40.0,24.0,2.0,1.0,1.0,0.0,حي اليرموك,exclusive_marketer,4.43,14,True
16000,3,1.0,3,300.0,20.0,2.0,1.0,0.0,0.0,حي ظهرة نمار,normal_marketer,4.08,6,True
70000,3,1.0,3,200.0,15.0,0.0,0.0,1.0,0.0,حي القيروان,normal_marketer,4.34,82,False
35000,2,1.0,2,120.0,20.0,0.0,1.0,0.0,0.0,حي الياسمين,normal_marketer,3.96,14,True
75000,3,1.0,4,145.0,30.0,0.0,1.0,0.0,0.0,حي قرطبة,agent,4.56,51,True
20150,3,1.0,2,300.0,25.0,,0.0,0.0,0.0,حي الشرق,owner,,31,True
21000,1,1.0,1,7.0,26.0,1.0,1.0,1.0,0.0,حي اشبيلية,normal_marketer,4.4,39,True
90000,3,1.0,3,146.0,,0.0,1.0,1.0,,حي الملقا,exclusive_marketer,,29,False
70000,3,1.0,3,134.0,36.0,0.0,0.0,1.0,0.0,حي الياسمين,owner,,35,False
45000,4,0.0,2,100.0,25.0,35.0,0.0,1.0,0.0,حي الديرة,normal_marketer,5.0,22,False
40956,3,1.0,2,100.0,15.0,15.0,1.0,0.0,0.0,حي السليمانية,agent,4.4,32,False
31000,3,1.0,2,120.0,30.0,15.0,1.0,0.0,0.0,حي قرطبة,owner,4.56,32,True
23000,1,1.0,1,70.0,5.0,6.0,1.0,1.0,0.0,حي اليرموك,exclusive_marketer,4.35,43,False
40000,4,1.0,3,130.0,20.0,10.0,1.0,0.0,0.0,حي الملقا,exclusive_marketer,4.48,26,False
25000,1,1.0,1,150.0,24.0,0.0,1.0,1.0,0.0,حي اليرموك,owner,4.49,33,False
13000,3,1.0,2,200.0,16.0,,0.0,0.0,0.0,حي اليمامة,agent,3.83,67,True
29000,2,1.0,1,100.0,30.0,5.0,1.0,1.0,0.0,حي اليرموك,exclusive_marketer,4.09,21,False
44000,4,1.0,2,250.0,37.0,0.0,1.0,1.0,0.0,حي الياسمين,owner,4.49,19,False
90000,4,1.0,4,179.0,30.0,3.0,1.0,1.0,1.0,حي قرطبة,owner,5.0,46,True
40000,4,1.0,2,180.0,30.0,8.0,1.0,1.0,0.0,حي الصحافة,agent,4.74,13,True
85000,3,1.0,3,,,0.0,1.0,0.0,0.0,حي الملقا,exclusive_marketer,4.89,30,False
28000,1,1.0,1,150.0,23.0,0.0,1.0,1.0,0.0,حي الملك فيصل,normal_marketer,4.43,99,False
32000,3,1.0,2,100.0,15.0,0.0,1.0,0.0,0.0,حي العارض,exclusive_marketer,4.19,57,True
45000,2,1.0,2,200.0,5.0,4.0,1.0,1.0,0.0,حي الياسمين,exclusive_marketer,4.43,32,True
120000,3,2.0,4,250.0,40.0,0.0,1.0,1.0,0.0,حي الملقا,exclusive_marketer,4.54,30,False
80000,4,1.0,4,229.0,5.0,0.0,0.0,0.0,0.0,حي الملقا,exclusive_marketer,4.47,49,False
25000,2,1.0,3,90.0,20.0,,1.0,0.0,0.0,حي المهدية,exclusive_marketer,4.26,30,False
25000,2,1.0,3,180.0,21.0,0.0,1.0,0.0,0.0,حي الرمال,exclusive_marketer,4.08,69,False
27000,6,1.0,3,500.0,30.0,1.0,1.0,0.0,0.0,حي الدار البيضاء,exclusive_marketer,4.56,31,False
33000,1,1.0,1,20.0,5.0,0.0,1.0,1.0,0.0,حي الملقا,owner,3.5,68,False
35000,1,1.0,1,60.0,5.0,0.0,1.0,1.0,0.0,حي العقيق,owner,4.11,16,True
13000,1,1.0,1,,,2.0,0.0,0.0,0.0,حي الدريهمية,exclusive_marketer,4.69,19,True
17000,1,0.0,1,50.0,70.0,5.0,0.0,1.0,0.0,حي غرناطة,,4.54,66,False
35000,4,2.0,2,200.0,40.0,15.0,1.0,1.0,1.0,حي الملك فيصل,exclusive_marketer,4.75,29,False
48000,3,1.0,3,150.0,15.0,0.0,1.0,1.0,0.0,حي قرطبة,normal_marketer,3.97,24,True
48000,4,3.0,3,174.0,35.0,3.0,1.0,1.0,0.0,حي ظهرة لبن,normal_marketer,4.31,14,True
18000,2,1.0,1,900.0,40.0,8.0,1.0,0.0,0.0,حي الدار البيضاء,exclusive_marketer,4.89,136,False
33000,2,1.0,2,90.0,23.0,5.0,1.0,1.0,0.0,حي اشبيلية,normal_marketer,4.35,19,True
85000,4,1.0,3,208.0,45.0,0.0,1.0,1.0,0.0,حي القيروان,exclusive_marketer,4.26,60,False
22000,1,1.0,1,300.0,29.0,3.0,1.0,1.0,0.0,حي اليرموك,exclusive_marketer,4.38,47,True
53000,3,1.0,2,8.0,38.0,2.0,1.0,1.0,0.0,حي الازدهار,normal_marketer,4.4,38,True
65000,3,1.0,3,140.0,30.0,2.0,1.0,1.0,1.0,حي القيروان,owner,5.0,39,False
24000,3,1.0,2,150.0,20.0,0.0,1.0,0.0,0.0,حي المهدية,normal_marketer,4.37,19,False
22000,1,1.0,1,100.0,35.0,0.0,1.0,1.0,0.0,حي الوادي,exclusive_marketer,3.74,63,True
65000,5,2.0,5,200.0,30.0,3.0,1.0,1.0,0.0,حي الملقا,exclusive_marketer,3.75,45,False
40000,4,1.0,3,200.0,20.0,8.0,0.0,0.0,0.0,حي غرناطة,exclusive_marketer,4.46,25,False
65000,4,1.0,3,160.0,15.0,2.0,1.0,1.0,0.0,حي الياسمين,normal_marketer,4.44,16,True
17000,1,0.0,1,70.0,27.0,3.0,0.0,1.0,0.0,حي العارض,normal_marketer,4.07,132,False
22000,2,1.0,2,120.0,20.0,0.0,1.0,0.0,0.0,حي الرمال,exclusive_marketer,4.08,54,False
90000,4,1.0,3,138.0,35.0,0.0,1.0,1.0,0.0,حي الندى,owner,5.0,99,False
95000,3,1.0,4,250.0,31.0,3.0,1.0,1.0,1.0,حي النرجس,normal_marketer,4.28,21,True
27000,2,1.0,1,300.0,50.0,0.0,1.0,1.0,0.0,حي اشبيلية,normal_marketer,4.38,14,True
29000,2,1.0,1,90.0,21.0,5.0,1.0,1.0,0.0,حي اليرموك,normal_marketer,4.35,25,False
35000,2,1.0,2,80.0,5.0,0.0,1.0,1.0,1.0,حي الشهداء,owner,3.5,79,False
23000,1,1.0,1,50.0,30.0,4.0,1.0,1.0,0.0,حي الروضة,agent,4.33,27,False
80000,4,2.0,3,180.0,5.0,,1.0,1.0,0.0,حي الندى,exclusive_marketer,4.87,24,False
30000,3,2.0,2,190.0,1.0,0.0,0.0,0.0,0.0,حي العارض,normal_marketer,3.94,10,True
20000,4,1.0,2,700.0,20.0,,1.0,0.0,0.0,حي الدار البيضاء,exclusive_marketer,4.57,23,False
85000,3,1.0,3,102.0,30.0,0.0,1.0,1.0,0.0,حي الربيع,exclusive_marketer,3.38,28,False
18000,3,1.0,2,180.0,30.0,0.0,1.0,0.0,0.0,حي طويق,agent,4.66,40,True
18000,1,0.0,1,100.0,5.0,0.0,1.0,1.0,0.0,حي العارض,owner,4.17,161,False
25000,3,1.0,2,360.0,30.0,0.0,0.0,0.0,0.0,حي الرمال,normal_marketer,4.52,24,False
60000,4,1.0,4,161.0,30.0,0.0,1.0,1.0,0.0,حي المونسية,owner,4.63,25,False
23000,1,1.0,1,300.0,50.0,2.0,1.0,1.0,0.0,حي اشبيلية,normal_marketer,4.38,7,True
25000,1,1.0,1,150.0,33.0,0.0,1.0,1.0,0.0,حي المونسية,owner,4.49,61,False
23000,1,0.0,1,50.0,19.0,1.0,1.0,1.0,0.0,حي العارض,owner,4.37,78,False
28000,3,1.0,2,150.0,15.0,4.0,1.0,1.0,0.0,حي المونسية,exclusive_marketer,4.38,9,True
28000,2,1.0,1,300.0,60.0,3.0,1.0,1.0,0.0,حي اليرموك,normal_marketer,4.38,6,True
32000,1,1.0,1,60.0,26.0,2.0,1.0,1.0,0.0,حي الملقا,exclusive_marketer,4.31,101,False
75000,3,1.0,3,130.0,30.0,3.0,1.0,1.0,0.0,حي الياسمين,exclusive_marketer,4.48,22,True
30000,2,1.0,1,80.0,11.0,4.0,1.0,1.0,0.0,حي اليرموك,exclusive_marketer,4.67,116,False
50000,6,1.0,3,275.0,30.0,7.0,0.0,0.0,0.0,حي الخليج,normal_marketer,4.28,17,True
21000,1,1.0,1,200.0,33.0,0.0,1.0,1.0,0.0,حي اشبيلية,exclusive_marketer,4.28,31,False
45000,2,1.0,1,80.0,14.0,,1.0,1.0,0.0,حي الملقا,exclusive_marketer,4.74,69,False
47000,2,1.0,2,150.0,18.0,7.0,1.0,1.0,0.0,حي النرجس,normal_marketer,4.17,20,True
45000,1,1.0,1,50.0,15.0,3.0,1.0,1.0,1.0,حي العليا,exclusive_marketer,4.31,65,False
21000,1,0.0,1,40.0,20.0,4.0,0.0,1.0,0.0,حي الملقا,exclusive_marketer,4.37,64,False
18000,3,1.0,2,300.0,17.0,0.0,1.0,0.0,1.0,حي طويق,agent,4.55,112,True
44000,3,1.0,3,140.0,20.0,1.0,1.0,1.0,0.0,حي العارض,exclusive_marketer,4.22,10,True
22000,1,0.0,1,500.0,29.0,0.0,1.0,1.0,0.0,حي المروج,owner,4.28,25,False
19500,1,0.0,1,,,4.0,0.0,1.0,0.0,حي الضباط,exclusive_marketer,4.69,68,True
31000,2,1.0,1,100.0,24.0,3.0,1.0,1.0,0.0,حي الملقا,exclusive_marketer,4.31,145,True
30000,3,1.0,2,150.0,23.0,0.0,1.0,1.0,0.0,حي المونسية,owner,4.29,11,True
25000,1,1.0,1,90.0,57.0,2.0,1.0,1.0,0.0,حي الملك فيصل,exclusive_marketer,4.43,31,False
360000,2,1.0,3,175.0,100.0,0.0,1.0,1.0,1.0,حي العليا,exclusive_marketer,3.89,89,False
30000,5,1.0,3,160.0,5.0,0.0,1.0,0.0,0.0,حي طويق,exclusive_marketer,4.26,21,False
70000,4,1.0,3,175.0,37.0,0.0,1.0,1.0,0.0,حي النرجس,normal_marketer,4.79,25,True
70000,4,1.0,3,220.0,36.0,0.0,1.0,1.0,0.0,حي الملقا,owner,3.98,86,False
65000,5,1.0,3,177.0,35.0,4.0,1.0,1.0,0.0,حي الياسمين,normal_marketer,4.07,32,False
